,Organizations,Country,Value
9155, freeport-mcmoran copper & gold inc,USA,129
9163, fremont gold ltd,USA,84
9170, freshpet inc,USA,356
9172, frontera energy corp,USA,30
9173, frontier ip group plc,AUS,10
9185, frontier lithium inc,CAN,465
9214, frugl group ltd,AUS,44
9223, fsd pharma inc class b,CAN,30
9262, fuelcell energy inc,USA,41
9263, fujian nebula electronics co ltd,CHN,27
9268, fujifilm holdings corporation,CHN,23
9309, fujikura,USA,173
9321, fujitsu general limited,JPN,47
9336, fujitsu limited,JPN,22
9342, fulham shore plc ls-01,USA,15
9346, furukawa battery co,USA,39
9369, furukawa electric co. ltd,USA,173
9371, fury gold mines ltd,CAN,22
9380, fuse cobalt inc,USA,84
9384, fuyao glass industry group co. ltd,CHN,34
9392, galan lithium limited,AUS,2071
9443, galantas gold corporation,GBR,74
9472, galileo mining ltd,AUS,126
9505, galileo resources plc,ZWE,88
9511, gamesquare esports inc,AUS,17
9527, ganfeng lithium co ltd,CAN,1460
9573, garibaldi resources corp,CAN,508
9581, garmin ltd,USA,28
9591, gartner inc,USA,70
9592, gascoyne resources ltd,AUS,13
9601, gase energy inc,CHN,61
9621, gazprom pao,CHN,115
9662, gb group plc,NER,50
9670, ge healthcare technologies inc.,AUS,13
9682, gem diamonds limited,CHN,26
9701, gemxx corp,CAN,18
9716, genel energy plc,MEX,46
9732, general motors company,USA,94
9738, generation mining limited,USA,206
9742, generic gold corporation,CHL,31
9747, genesis minerals limited,AUS,13
9749, genius metals inc,CAN,241
9756, genprex inc,CAN,165
9776, geotech holdings ltd,CAN,104
9784, getech group,GBR,25
9792, gevo inc,CAN,113
9814, gibson energy inc,CAN,27
9818, givex information technology group limited,ARG,26
9826, glatfelter,FIN,19
9835, glen eagle resources inc,CAN,46
9905, glencore plc,USA,1024
9911, global acquisitions corporation,AUS,115
9931, global battery metals ltd,IRL,137
9958, global energy metals corp,USA,463
9960, global energy ventures ltd,USA,30
9962, global healthcare reit inc,AUS,27
9972, global lithium resources ltd,AUS,430
9997, global resource ener,AUS,28
10009, globex mining enterprises inc,CAN,220
10033, goertek inc,CHN,34
10043, gold fields ltd adr,USA,67
10044, gold lion resources inc,CAN,36
10047, gold mountain mining corp,AUS,44
10057, gold resource corporation,CAN,46
10066, golden arrow resources corp,ARG,67
10083, golden energy offshore services as,AUS,13
10094, golden mile resources ltd,AUS,1545
10143, golden minerals company,USA,76
10163, golden tag resources ltd,USA,63
10179, goldman sachs group inc,CZE,2750
10231, goldon resources ltd,CAN,24
10241, goldplay mining inc,CAN,811
10295, goldrea resources corp,CAN,124
10298, goldseek resources inc,CAN,31
10306, goldshore resources inc,CAN,21
10315, goldsource mines inc,USA,100
10316, goldspot discoveries corp,CAN,386
10324, good energy group plc,GBR,25
10334, goodyear tire & rubber co,USA,23
10335, gotion high tech co ltd,ARG,33
10352, gr engineering services ltd,TZA,36
10369, gr silver mining ltd,USA,48
10373, graftech international ltd,USA,39
10392, graphene manufacturing group ltd,USA,355
10397, graphite one inc,CAN,106
10430, gratomic inc,USA,72
10432, grayscale basic attention token trust,CAN,12
10439, grayscale filecoin trust (fil),CAN,12
10446, grayscale livepeer trust (lpt),CAN,12
10453, great atlantic resources corp,CAN,104
10468, great boulder resources ltd,AUS,44
10477, great lakes graphite inc,CAN,42
10489, great panther mining limited,CAN,96
10503, great southern bancorp inc,AUS,18
10508, great southern copper plc,GBR,14
10518, great wall motor co ltd,AUS,602
10546, great western mining corp plc,CHN,97
10584, greatland gold plc,MEX,190
10604, green battery minerals inc,CAN,77
10637, green energy live inc,USA,515
10642, green energy resources inc,USA,273
10643, green hydrogen syst. dk 1,ARE,18
10648, green shift commodities,COL,54
10653, green technology metals limited,AUS,1172
10691, greenbank capital inc,CAN,28
10698, greenhill & co inc,ARG,38
10704, greenland minerals and energy ltd,AUS,64
10736, greenroc mining plc,CHN,92
10759, greenvale mining limited,AUS,66
10772, grid metals corp,CAN,539
10781, group eleven resources corp,CAN,112
10863, groupe gorgé sa,USA,2189
10871, gruma sab de cv,USA,356
10893, gs yuasa corporation,USA,49
10897, guanajuato silver company ltd,GBR,17
10903, guangdong xinbao electrical appliances holdings co ltd,CHN,34
10908, guangzhou tinci materials technology co ltd,CHN,78
10927, guardforce ai co ltd,CAN,33
10936, gulf energy development public company limited,AUS,44
10947, gulf oil lubricants india limited,IND,10
10951, gungnir resources inc,CAN,16
10957, guotai junan international holdings limited,CHN,29
10962, guotai junan securities co. ltd,CHN,86
10971, gwr group ltd,AUS,44
10980, gx acquisition corp ii,USA,10
10982, hackett group,USA,43
10983, hainan mining co ltd,CHN,23
10987, haitong international securities group limited,ARG,46
11009, halliburton company,USA,576
11011, hannan metals ltd,AUS,20
11015, hannans reward ltd,AUS,1807
11078, hanwa co. ltd,MEX,1125
11096, hapbee technologies inc,CAN,78
11110, haranga resources ltd,ARG,12
11134, harbor custom development inc,USA,112
11144, harmony gold mining company limited,ECU,17
11157, harris exploration inc,USA,116
11169, hastings technology metals limited,AUS,89
11188, hatcher group ltd,CAN,245
11221, havilah resources,AUS,24
11235, hawkmoon resources corp.,CAN,32
11243, hawsons iron ltd,AUS,16
11245, hcp plastene bulkpack ltd,CAN,42
11250, health and happiness (h&h) international holdings limited,GBR,16
11255, healthcare ai acquisition corp,AUS,23
11261, healthcare solutions management group inc,USA,30
11262, hecla mining company,CAN,224
11272, heineken nv,USA,20
