,dates,DocumentIdentifier
1951,2017-10-20 14:00:00,https://www.benzinga.com/pressreleases/17/10/n10205155/delta-q-technologies-expands-family-of-lithium-battery-chargers-for-el
1964,2017-10-24 10:30:00,https://brazilbusiness.einnews.com/pr_news/411504842/18650-lithium-battery-market-2017-asia-pacific-share-trend-segmentation-and-forecast-to-2022
1966,2017-10-24 21:30:00,https://www.prnewswire.com/news-releases/albemarle-corporation-to-present-at-the-2017-deutsche-bank-lithium-supply-chain-and-energy-storage-conference-300542515.html
2004,2017-11-12 02:45:00,http://www.orlandosentinel.com/news/mobile/os-airport-lithium-battery-update-20171111-story.html
2005,2017-11-13 08:15:00,http://www.goerie.com/news/20171113/erie-area-boy-recovering-from-swallowing-lithium-battery
2015,2017-11-18 07:15:00,https://stopthesethings.com/2017/11/18/renewables-battery-boom-exploding-mega-storage-system-generates-fireball-toxic-lithium-plume-in-belgium/
2046,2017-11-23 19:30:00,http://www.digitaljournal.com/tech-and-science/technology/elon-musk-comes-through-on-world-s-biggest-lithium-battery/article/508335
2075,2017-11-29 06:30:00,http://www.theage.com.au/business/energy/tesla-to-switch-on-sa-mega-lithium-battery-on-friday-hitting-musks-deadline-20171129-gzv8qo.html
2076,2017-11-29 08:15:00,https://www.brisbanetimes.com.au/business/tesla-to-switch-on-sa-mega-lithium-battery-on-friday-hitting-musks-deadline-20171129-gzv8qo.html
2089,2017-12-01 08:15:00,http://www.proactiveinvestors.co.uk/companies/news/188098/tesla-flicks-the-switch-on-globe-s-largest-lithium-battery-in-south-australia-188098.html
2091,2017-12-01 09:30:00,http://fortune.com/2017/12/01/tesla-south-australia-lithium-battery/
2108,2017-12-04 19:15:00,https://cleantechnica.com/2017/12/04/magnesium-goes-mobile-new-energy-storage-tech-threatens-lithium-ion-dominance/
2111,2017-12-05 14:30:00,http://www.prnewswire.co.uk/news-releases/tesla-completes-worlds-largest-lithium-battery-ahead-of-schedule-662058903.html
2112,2017-12-05 17:45:00,https://www.prnewswire.com/news-releases/tesla-completes-worlds-largest-lithium-battery-ahead-of-schedule-662059333.html
2150,2017-12-14 16:30:00,https://www.energy-storage.news/news/minimal-downtime-younicos-swaps-out-lead-acid-for-lithium-at-texas-notrees
2168,2017-12-26 14:00:00,http://wardsauto.com/brief-byds-jv-qinghai-salt-lake-plans-lithium-battery-project-worth-4849-million-yuan
2169,2017-12-26 14:00:00,http://wardsauto.com/brief-byds-jv-qinghai-salt-lake-plans-lithium-battery-project-worth-48-billion-yuan
2179,2017-12-28 00:00:00,http://www.afr.com/business/mining/tesla-lithium-battery-demand-fuels-bolivian-miners-hopes-competes-with-pilbara-20171227-h0arzp
2213,2018-01-11 12:30:00,http://www.briefingwire.com/pr/lithium-battery-market-global-industry-analysis-share-industry-growth-and-forecasts-till-2023
2229,2018-01-12 20:15:00,https://www.washingtonpost.com/lifestyle/travel/cant-remove-the-lithium-battery-from-your-smart-luggage-then-consider-it-grounded/2018/01/12/c6119f6a-f63e-11e7-a9e3-ab18ce41436a_story.html
2231,2018-01-13 05:30:00,http://www.afr.com/lifestyle/travel/world/new-airline-rules-for-lithium-battery-powered-smart-luggage-20180113-h0hukz
2237,2018-01-17 15:45:00,http://www.chicagotribune.com/lifestyles/travel/ct-lithium-battery-smart-luggage-20180117-story.html
2246,2018-01-19 10:45:00,http://www.newelectronics.co.uk/electronics-news/graphene-scaffold-could-solve-lithium-battery-problems/167427/
2262,2018-01-24 14:00:00,http://www.briefingwire.com/pr/emea-18650-lithium-battery-market-research-report-forecast-2017-analysis-and-forecasts-to-2022
2279,2018-01-28 09:45:00,http://www.bostonglobe.com/lifestyle/travel/2018/01/23/can-remove-lithium-battery-from-your-smart-luggage-then-consider-grounded/WIjQrBtMa6OCbPNT7bv5SO/story.html
2284,2018-01-31 16:15:00,https://www.guelphmercury.com/news-story/8101602-can-t-remove-the-lithium-battery-from-your-smart-luggage-then-consider-it-grounded-/
2289,2018-02-01 14:30:00,https://www.prnewswire.com/news-releases/graphene-ball-technology-promises-much-greater-lithium-battery-life-672137143.html
2290,2018-02-01 14:45:00,http://forimmediaterelease.net/graphene-ball-technology-promises-much-greater-lithium-battery-life-104236/
2303,2018-02-06 17:30:00,http://www.independent.co.uk/travel/news-and-advice/frontier-airlines-flight-emergency-landing-smart-phone-lithium-battery-fire-plane-cabin-orlando-a8196731.html
2306,2018-02-07 14:30:00,https://www.prnewswire.com/news-releases/electric-vehicles-and-energy-storage-to-power-the-lithium-market-673127783.html
2311,2018-02-13 09:30:00,http://www.military-technologies.net/2018/02/13/china-18650-lithium-battery-market-2018-industry-growth-size-trends-share-opportunities-and-forecast-to-2023/
2315,2018-02-14 09:15:00,http://energy.einnews.com/pr_news/431935971/18650-lithium-battery-2018-asia-pacific-market-size-status-analysis-and-forecast-2022
2408,2018-03-04 19:45:00,https://cleantechnica.com/2018/03/04/lithium-battery-clues-mystery/
2412,2018-03-05 09:45:00,http://www.spacedaily.com/reports/A_lithium_battery_that_operates_at__70_degrees_Celsius_a_record_low_999.html
2421,2018-03-08 19:30:00,http://www.mining.com/scientists-closer-producing-safer-longer-lasting-lithium-battery/
2457,2018-03-14 11:45:00,http://www.chicagotribune.com/bluesky/techandculture/sns-techculture-lithium-battery-prices-20180313-story.html
2460,2018-03-14 15:00:00,http://www.baltimoresun.com/business/technology/sns-techculture-lithium-battery-prices-20180313-story.html
