,dates,DocumentIdentifier
2729,2018-05-17 05:00:00,http://wardsauto.com/australias-kidman-resources-supply-lithium-hydroxide-tesla-inc
2730,2018-05-17 05:00:00,http://wardsauto.com/update-1-australias-kidman-resources-supply-lithium-hydroxide-tesla
2731,2018-05-17 06:45:00,https://www.reuters.com/article/kidman-resources-tesla/australias-kidman-resources-to-supply-lithium-hydroxide-to-tesla-inc-idUSL3N1SN6IW
2735,2018-05-17 15:00:00,https://investingnews.com/daily/resource-investing/energy-investing/lithium-investing/sienna-announces-cobalt-nickel-and-copper-mineralization-intercepted-by-reconnaissance-drilling-at-slattberg-project-in-sweden/
2753,2018-05-22 19:00:00,http://www.mining.com/web/petro-lithium-production-represents-diversification-albertas-energy-economy/
2754,2018-05-22 21:45:00,http://www.canadianminingjournal.com/news/lithium-petro-lithium-production-represents-diversification-of-albertas-energy-economy/
2762,2018-05-28 15:30:00,http://www.thinkgeoenergy.com/simplified-overview-on-planned-lithium-production-from-geothermal-operations/
2772,2018-05-31 13:00:00,https://www.finanznachrichten.de/nachrichten-2018-05/43940362-oroplata-resources-inc-lithiumore-provides-update-on-its-lithium-exploration-and-development-strategy-200.htm
2775,2018-05-31 16:00:00,https://www.popularmechanics.com/science/environment/a20966184/carbon-dioxide-nanotubes-lithium-carbonate/
2783,2018-06-05 18:30:00,https://www.msn.com/en-sg/news/other/china-goes-all-out-to-secure-lithium-cobalt-supplies-key-to-dominating-the-world-electric-car-market/ar-AAycrbF
2786,2018-06-06 13:45:00,https://www.prnewswire.com/news-releases/cobalt-market-projected-to-grow-with-demand-for-lithium-ion-batteries-684686871.html
2790,2018-06-07 13:45:00,http://www.kxxv.com/story/38370590/cobalt-and-lithium-markets-rise-in-value-as-electric-vehicles-increase-in-demand
2791,2018-06-07 15:15:00,https://www.prnewswire.com/news-releases/cobalt-and-lithium-markets-rise-in-value-as-electric-vehicles-increase-in-demand-684836621.html
2799,2018-06-12 13:30:00,https://www.prnewswire.com/news-releases/cobalts-scarcity-influences-the-lithium-ion-battery-market-685240801.html
2835,2018-06-19 19:15:00,https://www.wkrb13.com/2018/06/19/nvwm-llc-boosts-position-in-glb-x-funds-glb-x-lithium-etf-n-lit.html
2857,2018-06-30 07:00:00,http://www.scmp.com/business/companies/article/2153154/cobalt-lithium-and-nickel-are-booming-due-chinas-insatiable
2858,2018-06-30 12:30:00,https://www.msn.com/en-sg/news/other/cobalt-lithium-and-nickel-are-booming-due-to-chinas-insatiable-appetite-for-electric-vehicles/ar-AAznB6p
2865,2018-07-03 13:30:00,https://steelguru.com/metal/cobalt-lithium-and-nickel-are-booming-due-to-china-s-insatiable-appetite-for-electric-vehicles/513708
2888,2018-07-09 19:00:00,https://business.financialpost.com/investing/these-battery-skeptics-think-cobalt-and-lithium-prices-are-overcooked
