Date,LiOH 56.5%
2011-04-14,39000
2011-04-15,39000
2011-04-18,39000
2011-04-19,39000
2011-04-20,39000
2011-04-21,39000
2011-04-22,39000
2011-04-25,39000
2011-04-26,39000
2011-04-27,39000
2011-04-28,39000
2011-04-29,39000
2011-05-03,39000
2011-05-04,39000
2011-05-05,39000
2011-05-06,39000
2011-05-09,39000
2011-05-10,39000
2011-05-11,39000
2011-05-12,39000
2011-05-13,39000
2011-05-16,39000
2011-05-17,39000
2011-05-18,39000
2011-05-19,39000
2011-05-20,39000
2011-05-23,39000
2011-05-24,39000
2011-05-25,39000
2011-05-26,39000
2011-05-27,39000
2011-05-30,39000
2011-05-31,39000
2011-06-01,39000
2011-06-02,39000
2011-06-03,39000
2011-06-07,39000
2011-06-08,39000
2011-06-09,39000
2011-06-10,39000
2011-06-13,39000
2011-06-14,39000
2011-06-15,39000
2011-06-16,39000
2011-06-17,39000
2011-06-20,39000
2011-06-21,39000
2011-06-22,39000
2011-06-23,39000
2011-06-24,39000
2011-06-27,39000
2011-06-28,39000
2011-06-29,39000
2011-06-30,39000
2011-07-01,39000
2011-07-04,39000
2011-07-05,39000
2011-07-06,39000
2011-07-07,39000
2011-07-08,41250
2011-07-11,41250
2011-07-12,41250
2011-07-13,41250
2011-07-14,41250
2011-07-15,41250
2011-07-18,41250
2011-07-19,41250
2011-07-20,41250
2011-07-21,41250
2011-07-22,41250
2011-07-25,41250
2011-07-26,41250
2011-07-27,41250
2011-07-28,41250
2011-07-29,41250
2011-08-01,41250
2011-08-02,41250
2011-08-03,41250
2011-08-04,41250
2011-08-05,41250
2011-08-08,41250
2011-08-09,41250
2011-08-10,41250
2011-08-11,41250
2011-08-12,41250
2011-08-15,41250
2011-08-16,41250
2011-08-17,41250
2011-08-18,41250
2011-08-19,41250
2011-08-22,41250
2011-08-23,41250
2011-08-24,41250
2011-08-25,41250
2011-08-26,41250
2011-08-29,41250
2011-08-30,41250
2011-08-31,41250
2011-09-01,41250
2011-09-02,41250
2011-09-05,41250
2011-09-06,41250
2011-09-07,41250
2011-09-08,41250
2011-09-09,41250
2011-09-13,41250
2011-09-14,41250
2011-09-15,41250
2011-09-16,41250
2011-09-19,41250
2011-09-20,41250
2011-09-21,41250
2011-09-22,41250
2011-09-23,41250
2011-09-26,41250
2011-09-27,41250
2011-09-28,41250
2011-09-29,41250
2011-09-30,41250
2011-10-10,41250
2011-10-11,41250
2011-10-12,41250
2011-10-13,41250
2011-10-14,41250
2011-10-17,41250
2011-10-18,41250
2011-10-19,41250
2011-10-20,41250
2011-10-21,41250
2011-10-24,41250
2011-10-25,41250
2011-10-26,41250
2011-10-27,41250
2011-10-28,41250
2011-10-31,41250
2011-11-01,41250
2011-11-02,41250
2011-11-03,41250
2011-11-04,41250
2011-11-07,41250
2011-11-08,41250
2011-11-09,41250
2011-11-10,41250
2011-11-11,41250
2011-11-14,41250
2011-11-15,41250
2011-11-16,41250
2011-11-17,41250
2011-11-18,41250
2011-11-21,41250
2011-11-22,41250
2011-11-23,41250
2011-11-24,41250
2011-11-25,41250
2011-11-28,41250
2011-11-29,41250
2011-11-30,41250
2011-12-01,41250
2011-12-02,41250
2011-12-05,41250
2011-12-06,41250
2011-12-07,41250
2011-12-08,41250
2011-12-09,41250
2011-12-12,41250
2011-12-13,41250
2011-12-14,41250
2011-12-15,41250
2011-12-16,41250
2011-12-19,41250
2011-12-20,41250
2011-12-21,41250
2011-12-22,41250
2011-12-23,41250
2011-12-26,41250
2011-12-27,41250
2011-12-28,41250
2011-12-29,41250
2011-12-30,41250
2012-01-04,41250
2012-01-05,41250
2012-01-06,41250
2012-01-09,41250
2012-01-10,41250
2012-01-11,41250
2012-01-12,41250
2012-01-13,41250
2012-01-16,41250
2012-01-17,41250
2012-01-18,41250
2012-01-19,41250
2012-01-20,41250
2012-01-30,41250
2012-01-31,41250
2012-02-01,41250
2012-02-02,41250
2012-02-03,41250
2012-02-06,41250
2012-02-07,41250
2012-02-08,41250
2012-02-09,41250
2012-02-10,41250
2012-02-13,41250
2012-02-14,41250
2012-02-15,41250
2012-02-16,41250
2012-02-17,41250
2012-02-20,41250
2012-02-21,41250
2012-02-22,41250
2012-02-23,41250
2012-02-24,41250
2012-02-27,41250
2012-02-28,41250
2012-02-29,41250
2012-03-01,41250
2012-03-02,41250
2012-03-05,41250
2012-03-06,41250
2012-03-07,41250
2012-03-08,41250
2012-03-09,41250
2012-03-12,41250
2012-03-13,41250
2012-03-14,41250
2012-03-15,41250
2012-03-16,41250
2012-03-19,41250
2012-03-20,41250
2012-03-21,41250
2012-03-22,41250
2012-03-23,41250
2012-03-26,41250
2012-03-27,41250
2012-03-28,41250
2012-03-29,41250
2012-03-30,41250
2012-04-05,41250
2012-04-06,41250
2012-04-09,41250
2012-04-10,41250
2012-04-11,41250
2012-04-12,41250
2012-04-13,41250
2012-04-16,41250
2012-04-17,41250
2012-04-18,41250
2012-04-19,41250
2012-04-20,41250
2012-04-23,41250
2012-04-24,41250
2012-04-25,41250
2012-04-26,41250
2012-04-27,41250
2012-05-02,41250
2012-05-03,41250
2012-05-04,41250
2012-05-07,41250
2012-05-08,41250
2012-05-09,41250
2012-05-10,41250
2012-05-11,41250
2012-05-14,41250
2012-05-15,41250
2012-05-16,41250
2012-05-17,41250
2012-05-18,41250
2012-05-21,41250
2012-05-22,41250
2012-05-23,41250
2012-05-24,41250
2012-05-25,41250
2012-05-28,41250
2012-05-29,41250
2012-05-30,41250
2012-05-31,41250
2012-06-01,41250
2012-06-04,41250
2012-06-05,41250
2012-06-06,41250
2012-06-07,41250
2012-06-08,41250
2012-06-11,41250
2012-06-12,41250
2012-06-13,41250
2012-06-14,41250
2012-06-15,41250
2012-06-18,41250
2012-06-19,41250
2012-06-20,41250
2012-06-21,41250
2012-06-25,41250
2012-06-26,41250
2012-06-27,41250
2012-06-28,41250
2012-06-29,41250
2012-07-02,41250
2012-07-03,41250
2012-07-04,41250
2012-07-05,41250
2012-07-06,41250
2012-07-09,41250
2012-07-10,41250
2012-07-11,41250
2012-07-12,41250
2012-07-13,41250
2012-07-16,41250
2012-07-17,41250
2012-07-18,41250
2012-07-19,41250
2012-07-20,41250
2012-07-23,41250
2012-07-24,41250
2012-07-25,41250
2012-07-26,41250
2012-07-27,41250
2012-07-30,41250
2012-07-31,41250
2012-08-01,41250
2012-08-02,41250
2012-08-03,41250
2012-08-06,41250
2012-08-07,41250
2012-08-08,41250
2012-08-09,41250
2012-08-10,41250
2012-08-13,41250
2012-08-14,41250
2012-08-15,41250
2012-08-16,41250
2012-08-17,41250
2012-08-20,41250
2012-08-21,41250
2012-08-22,41250
2012-08-23,41250
2012-08-24,41250
2012-08-27,41250
2012-08-28,41250
2012-08-29,41250
2012-08-30,41250
2012-08-31,41250
2012-09-03,41250
2012-09-04,41250
2012-09-05,41250
2012-09-06,41250
2012-09-07,41250
2012-09-10,41250
2012-09-11,41250
2012-09-12,41250
2012-09-13,41250
2012-09-14,41250
2012-09-17,41250
2012-09-18,41250
2012-09-19,41250
2012-09-20,41250
2012-09-21,41250
2012-09-24,41250
2012-09-25,41250
2012-09-26,41250
2012-09-27,41250
2012-09-28,41250
2012-10-08,41250
2012-10-09,41250
2012-10-10,41250
2012-10-11,41250
2012-10-12,41250
2012-10-15,41250
2012-10-16,41250
2012-10-17,41250
2012-10-18,41250
2012-10-19,41250
2012-10-22,41250
2012-10-23,41250
2012-10-24,41250
2012-10-25,41250
2012-10-26,41250
2012-10-29,41250
2012-10-30,41250
2012-10-31,41250
2012-11-01,41250
2012-11-02,41250
2012-11-05,41250
2012-11-06,41250
2012-11-07,41250
2012-11-08,41250
2012-11-09,41250
2012-11-12,41250
2012-11-13,41250
2012-11-14,41250
2012-11-15,41250
2012-11-16,41250
2012-11-19,41250
2012-11-20,41250
2012-11-21,41250
2012-11-22,41250
2012-11-23,41250
2012-11-26,41250
2012-11-27,41250
2012-11-28,41250
2012-11-29,41250
2012-11-30,41250
2012-12-07,41250
2012-12-14,41250
2012-12-21,41250
2012-12-28,41250
2013-01-04,41250
2013-01-11,41250
2013-01-18,41250
2013-01-25,41250
2013-02-01,41250
2013-02-08,41250
2013-02-22,41250
2013-03-01,41250
2013-03-08,41250
2013-03-15,41250
2013-03-22,43050
2013-03-29,43500
2013-04-05,43500
2013-04-12,43500
2013-04-19,43500
2013-04-26,43500
2013-05-03,43500
2013-05-10,43500
2013-05-17,43500
2013-05-24,43500
2013-05-31,43500
2013-06-07,43500
2013-06-14,43500
2013-06-21,43500
2013-06-28,43500
2013-07-05,43500
2013-07-12,43500
2013-07-19,43500
2013-07-26,43500
2013-08-02,43500
2013-08-09,43500
2013-08-16,43500
2013-08-23,43500
2013-08-30,43500
2013-09-06,43500
2013-09-13,42700
2013-09-20,42500
2013-09-27,42500
2013-10-04,42500
2013-10-11,42500
2013-10-18,42500
2013-10-25,42500
2013-11-01,42300
2013-11-08,42000
2013-11-15,42000
2013-11-22,42000
2013-11-29,42000
2013-12-06,42000
2013-12-13,42000
2013-12-20,42000
2013-12-27,42000
2014-01-03,42000
2014-01-10,42000
2014-01-17,42000
2014-01-24,42000
2014-01-31,42000
2014-02-07,42000
2014-02-14,42000
2014-02-21,42000
2014-02-28,42000
2014-03-07,42000
2014-03-14,42000
2014-03-21,42000
2014-03-28,42000
2014-04-04,42000
2014-04-11,42000
2014-04-18,42000
2014-04-25,42000
2014-05-02,42000
2014-05-09,42000
2014-05-16,42000
2014-05-23,42000
2014-05-30,42000
2014-06-06,42000
2014-06-13,42000
2014-06-20,42000
2014-06-27,42000
2014-07-04,42000
2014-07-11,42000
2014-07-18,42000
2014-07-25,42000
2014-08-01,42000
2014-08-08,42000
2014-08-15,42000
2014-08-22,42000
2014-08-29,42000
2014-09-05,42000
2014-09-12,42000
2014-09-19,42000
2014-09-26,42000
2014-10-03,42000
2014-10-10,42000
2014-10-17,42000
2014-10-24,42000
2014-10-31,42000
2014-11-07,42000
2014-11-14,42000
2014-11-21,42000
2014-11-24,42000
2014-11-25,42000
2014-11-26,42000
2014-11-27,42000
2014-11-28,42000
2014-12-01,42000
2014-12-02,42000
2014-12-03,42000
2014-12-04,42500
2014-12-05,42500
2014-12-08,42500
2014-12-09,42500
2014-12-10,42500
2014-12-11,42500
2014-12-12,42500
2014-12-15,42500
2014-12-16,42500
2014-12-17,42500
2014-12-18,42500
2014-12-19,42500
2014-12-22,42500
2014-12-23,42500
2014-12-24,42500
2014-12-25,42500
2014-12-26,42500
2014-12-29,42500
2014-12-30,42500
2014-12-31,42500
2015-01-05,42500
2015-01-07,42500
2015-01-08,42500
2015-01-09,42500
2015-01-12,42500
2015-01-13,42500
2015-01-14,42500
2015-01-15,42500
